Metodo,Raiz,Juros,Iteracoes,Erro
f1 - Bisseccao,1.1222480773925778,0.12224807739257781,16,6.798313746654094e-07
f1 - Posicao Falsa,1.1222472461516948,0.1222472461516948,18,6.710109564165272e-07
f1 - Newton-Raphson,1.1222483074216723,0.12224830742167225,3,6.451019095490431e-08
f1 - Secante,1.1222483074096676,0.12224830740966763,7,2.2296325120690787e-08
f1 - Ponto Fixo (g1),1.1222465323255248,0.12224653232552485,16,8.326035959858061e-07
f2 - Bisseccao,1.109378509521485,0.10937850952148498,15,9.628050527418959e-07
f2 - Posicao Falsa,1.109377723102348,0.10937772310234806,13,6.99129981532644e-07
f2 - Newton-Raphson,1.1093783629248168,0.10937836292481684,3,1.4875885627692498e-09
f2 - Secante,1.1093783628955138,0.10937836289551384,7,9.53753313001898e-08
f2 - Ponto Fixo (g2),1.109381163183759,0.1093811631837589,19,7.807376822430144e-07
