iter,a,b,c,f(c),erro
0,1.1,1.2,1.15,0.26987473186567357,0.04347826086956516
1,1.1,1.15,1.125,0.019676671556705827,0.022222222222222143
2,1.1,1.125,1.1125,-0.05891906423823556,0.011235955056179735
3,1.1125,1.125,1.11875,-0.02303069689304138,0.00558659217877093
4,1.11875,1.125,1.121875,-0.002562192653087436,0.0027855153203343017
5,1.121875,1.125,1.1234375,0.008331744162035193,0.001390820584144665
6,1.121875,1.1234375,1.12265625,0.0028289314817691036,0.0006958942240779995
7,1.121875,1.12265625,1.1222656249999998,0.00011947414307300619,0.0003480682213713691
8,1.121875,1.1222656249999998,1.1220703125,-0.0012248248729100908,0.00017406440382935752
9,1.1220703125,1.1222656249999998,1.12216796875,-0.000553542793284123,8.702462796963629e-05
10,1.12216796875,1.1222656249999998,1.1222167968749999,-0.00021725131027849898,4.3510420745729044e-05
11,1.1222167968749999,1.1222656249999998,1.1222412109374997,-4.894284591472342e-05,2.1754737093982437e-05
12,1.1222412109374997,1.1222656249999998,1.1222534179687498,3.5252081001857505e-05,1.0877250231181141e-05
13,1.1222412109374997,1.1222534179687498,1.1222473144531246,-6.8487741025080595e-06,5.438654694394587e-06
14,1.1222473144531246,1.1222534179687498,1.1222503662109373,1.4200805509290149e-05,2.719319952525645e-06
15,1.1222473144531246,1.1222503662109373,1.122248840332031,3.6758037218476147e-06,1.3596618249900512e-06
16,1.1222473144531246,1.122248840332031,1.1222480773925778,-1.586538186160169e-06,6.798313746654094e-07
