iter,a,b,c,f(c),erro
0,1.1,1.2,1.1079925426062849,-0.08085582156124715,0.0072135346574483845
1,1.1079925426062849,1.2,1.113411172047659,-0.05409175972765823,0.004866692177525694
2,1.113411172047659,1.2,1.1168905208430921,-0.034397209168259835,0.003115210247112495
3,1.1168905208430921,1.2,1.1190456808961886,-0.02116802885328184,0.001925891042598457
4,1.1190456808961886,1.2,1.1203505870964807,-0.012764005297576375,0.00116473023294782
5,1.1203505870964807,1.2,1.1211297290776758,-0.007601910279483093,0.0006949614848195027
6,1.1211297290776758,1.2,1.1215910516083005,-0.00449414938313808,0.0004113108159727074
7,1.1215910516083005,1.2,1.121862834087516,-0.0026452676401795827,0.00024225999022118658
8,1.121862834087516,1.2,1.1220224790943927,-0.0015529959128990356,0.0001422832517628784
9,1.1220224790943927,1.2,1.122116091702783,-0.0009103577877596081,8.34250654478219e-05
10,1.122116091702783,1.2,1.1221709282699135,-0.0005331721908525822,4.8866501304751795e-05
11,1.1221709282699135,1.2,1.1222030313322107,-0.00031210195444231204,2.8607178381136772e-05
12,1.1222030313322107,1.2,1.1222218189003133,-0.00018263876043178584,1.6741403335924607e-05
13,1.1222218189003133,1.2,1.1222328116324474,-0.0001068591825195142,9.795411451326272e-06
14,1.1222328116324474,1.2,1.1222392427822434,-6.25151616837627e-05,5.730640625339241e-06
15,1.1222392427822434,1.2,1.1222430049757046,-3.657061953887819e-05,3.352387535078652e-06
16,1.1222430049757046,1.2,1.1222452057514505,-2.1392608513082223e-05,1.961047135318847e-06
17,1.1222452057514505,1.2,1.1222464931114968,-1.2513709911843307e-05,1.1471277070095999e-06
18,1.1222464931114968,1.2,1.1222472461516948,-7.319865606092435e-06,6.710109564165272e-07
