iter,x,g(x),erro
0,1.1098516731547046,1.1097390081019818,0.00013364564732683571
1,1.1097390081019818,1.1096533174707266,0.00010152391859728949
2,1.1096533174707266,1.109588077634413,7.722288565811183e-05
3,1.109588077634413,1.1095383700208565,5.8796446743342634e-05
4,1.1095383700208565,1.1095004748170654,4.480026549730581e-05
5,1.1095004748170654,1.1094715722226949,3.415519384740127e-05
6,1.1094715722226949,1.1094495208775732,2.605077506636034e-05
7,1.1094495208775732,1.1094326924173017,1.9875933701096923e-05
8,1.1094326924173017,1.1094198472917958,1.5168527470418193e-05
9,1.1094198472917958,1.1094100411782524,1.1578236622752665e-05
10,1.1094100411782524,1.1094025542309787,8.839034423181698e-06
11,1.1094025542309787,1.1093968374671195,6.748629922611593e-06
12,1.1093968374671195,1.109392472063028,5.1530378184952265e-06
13,1.109392472063028,1.1093891384086225,3.934950165495774e-06
14,1.1093891384086225,1.1093865925549349,3.0049459562899666e-06
15,1.1093865925549349,1.1093846482736753,2.2948300481781566e-06
16,1.1093846482736753,1.1093831633829256,1.752576315683356e-06
17,1.1093831633829256,1.109382029319437,1.3384832208596712e-06
18,1.109382029319437,1.109381163183759,1.02224793506725e-06
19,1.109381163183759,1.109380501670068,7.807376822430144e-07
