iter,fase,k,linha_pivo,linha_alvo,pivo,multiplicador,acao
0,normalizacao,0,0,0,4.0,0.25,normalizar_linha
1,eliminacao,0,0,1,1.0,-1.0,anular_elemento
2,eliminacao,0,0,2,1.0,0.0,anular_elemento
3,eliminacao,0,0,3,1.0,-1.0,anular_elemento
4,eliminacao,0,0,4,1.0,0.0,anular_elemento
5,eliminacao,0,0,5,1.0,0.0,anular_elemento
6,eliminacao,0,0,6,1.0,0.0,anular_elemento
7,eliminacao,0,0,7,1.0,0.0,anular_elemento
8,eliminacao,0,0,8,1.0,0.0,anular_elemento
9,normalizacao,1,1,1,3.75,0.26666666666666666,normalizar_linha
10,eliminacao,1,1,0,1.0,-0.25,anular_elemento
11,eliminacao,1,1,2,1.0,-1.0,anular_elemento
12,eliminacao,1,1,3,1.0,-0.25,anular_elemento
13,eliminacao,1,1,4,1.0,-1.0,anular_elemento
14,eliminacao,1,1,5,1.0,0.0,anular_elemento
15,eliminacao,1,1,6,1.0,0.0,anular_elemento
16,eliminacao,1,1,7,1.0,0.0,anular_elemento
17,eliminacao,1,1,8,1.0,0.0,anular_elemento
18,normalizacao,2,2,2,3.7333333333333334,0.26785714285714285,normalizar_linha
19,eliminacao,2,2,0,1.0,-0.06666666666666667,anular_elemento
20,eliminacao,2,2,1,1.0,-0.26666666666666666,anular_elemento
21,eliminacao,2,2,3,1.0,-0.06666666666666667,anular_elemento
22,eliminacao,2,2,4,1.0,-0.26666666666666666,anular_elemento
23,eliminacao,2,2,5,1.0,-1.0,anular_elemento
24,eliminacao,2,2,6,1.0,0.0,anular_elemento
25,eliminacao,2,2,7,1.0,0.0,anular_elemento
26,eliminacao,2,2,8,1.0,0.0,anular_elemento
27,normalizacao,3,3,3,3.732142857142857,0.2679425837320574,normalizar_linha
28,eliminacao,3,3,0,1.0,-0.26785714285714285,anular_elemento
29,eliminacao,3,3,1,1.0,-0.07142857142857142,anular_elemento
30,eliminacao,3,3,2,1.0,-0.017857142857142856,anular_elemento
31,eliminacao,3,3,4,1.0,-1.0714285714285714,anular_elemento
32,eliminacao,3,3,5,1.0,-0.017857142857142856,anular_elemento
33,eliminacao,3,3,6,1.0,-1.0,anular_elemento
34,eliminacao,3,3,7,1.0,0.0,anular_elemento
35,eliminacao,3,3,8,1.0,0.0,anular_elemento
36,normalizacao,4,4,4,3.4066985645933014,0.29353932584269665,normalizar_linha
37,eliminacao,4,4,0,1.0,-0.14832535885167464,anular_elemento
38,eliminacao,4,4,1,1.0,-0.3062200956937799,anular_elemento
39,eliminacao,4,4,2,1.0,-0.07655502392344497,anular_elemento
40,eliminacao,4,4,3,1.0,-0.28708133971291866,anular_elemento
41,eliminacao,4,4,5,1.0,-1.076555023923445,anular_elemento
42,eliminacao,4,4,6,1.0,-0.28708133971291866,anular_elemento
43,eliminacao,4,4,7,1.0,-1.0,anular_elemento
44,eliminacao,4,4,8,1.0,0.0,anular_elemento
45,normalizacao,5,5,5,3.3918539325842696,0.294824016563147,normalizar_linha
46,eliminacao,5,5,0,1.0,-0.06601123595505617,anular_elemento
47,eliminacao,5,5,1,1.0,-0.16853932584269665,anular_elemento
48,eliminacao,5,5,2,1.0,-0.29213483146067415,anular_elemento
49,eliminacao,5,5,3,1.0,-0.09550561797752809,anular_elemento
50,eliminacao,5,5,4,1.0,-0.3160112359550562,anular_elemento
51,eliminacao,5,5,6,1.0,-0.09550561797752809,anular_elemento
52,eliminacao,5,5,7,1.0,-0.3160112359550562,anular_elemento
53,eliminacao,5,5,8,1.0,-1.0,anular_elemento
54,normalizacao,6,6,6,3.705175983436853,0.2698927134555208,normalizar_linha
55,eliminacao,6,6,0,1.0,-0.08612836438923395,anular_elemento
56,eliminacao,6,6,1,1.0,-0.049689440993788817,anular_elemento
57,eliminacao,6,6,2,1.0,-0.01946169772256729,anular_elemento
58,eliminacao,6,6,3,1.0,-0.294824016563147,anular_elemento
59,eliminacao,6,6,4,1.0,-0.09316770186335405,anular_elemento
60,eliminacao,6,6,5,1.0,-0.028157349896480336,anular_elemento
61,eliminacao,6,6,7,1.0,-1.093167701863354,anular_elemento
62,eliminacao,6,6,8,1.0,-0.028157349896480336,anular_elemento
63,normalizacao,7,7,7,3.3544926240500668,0.2981076759061834,normalizar_linha
64,eliminacao,7,7,0,1.0,-0.07510058113544926,anular_elemento
65,eliminacao,7,7,1,1.0,-0.12025033527045151,anular_elemento
66,eliminacao,7,7,2,1.0,-0.05543138131426017,anular_elemento
67,eliminacao,7,7,3,1.0,-0.18015198927134557,anular_elemento
68,eliminacao,7,7,4,1.0,-0.3504693786320966,anular_elemento
69,eliminacao,7,7,5,1.0,-0.10147518998658919,anular_elemento
70,eliminacao,7,7,6,1.0,-0.2950379973178364,anular_elemento
71,eliminacao,7,7,8,1.0,-1.1014751899865893,anular_elemento
72,normalizacao,8,8,8,3.343283582089552,0.29910714285714285,normalizar_linha
73,eliminacao,8,8,0,1.0,-0.04477611940298508,anular_elemento
74,eliminacao,8,8,1,1.0,-0.08955223880597017,anular_elemento
75,eliminacao,8,8,2,1.0,-0.1044776119402985,anular_elemento
76,eliminacao,8,8,3,1.0,-0.08955223880597017,anular_elemento
77,eliminacao,8,8,4,1.0,-0.20895522388059706,anular_elemento
78,eliminacao,8,8,5,1.0,-0.3283582089552239,anular_elemento
79,eliminacao,8,8,6,1.0,-0.10447761194029855,anular_elemento
80,eliminacao,8,8,7,1.0,-0.328358208955224,anular_elemento
81,solucao,,,,,,solucao_obtida
