iter,fase,k,linha_pivo,linha_alvo,pivo,multiplicador,acao
0,eliminacao,0,0,1,4.0,-0.25,anular_elemento
1,eliminacao,0,0,2,4.0,0.0,anular_elemento
2,eliminacao,0,0,3,4.0,-0.25,anular_elemento
3,eliminacao,0,0,4,4.0,0.0,anular_elemento
4,eliminacao,0,0,5,4.0,0.0,anular_elemento
5,eliminacao,1,1,2,3.75,-0.26666666666666666,anular_elemento
6,eliminacao,1,1,3,3.75,-0.06666666666666667,anular_elemento
7,eliminacao,1,1,4,3.75,-0.26666666666666666,anular_elemento
8,eliminacao,1,1,5,3.75,0.0,anular_elemento
9,eliminacao,2,2,3,3.7333333333333334,-0.017857142857142856,anular_elemento
10,eliminacao,2,2,4,3.7333333333333334,-0.07142857142857142,anular_elemento
11,eliminacao,2,2,5,3.7333333333333334,-0.26785714285714285,anular_elemento
12,eliminacao,3,3,4,3.732142857142857,-0.28708133971291866,anular_elemento
13,eliminacao,3,3,5,3.732142857142857,-0.004784688995215311,anular_elemento
14,eliminacao,4,4,5,3.4066985645933014,-0.31601123595505615,anular_elemento
15,substituicao_regressiva,5,,5,3.3918539325842696,,calcular_x[i]
16,substituicao_regressiva,4,,4,3.4066985645933014,,calcular_x[i]
17,substituicao_regressiva,3,,3,3.732142857142857,,calcular_x[i]
18,substituicao_regressiva,2,,2,3.7333333333333334,,calcular_x[i]
19,substituicao_regressiva,1,,1,3.75,,calcular_x[i]
20,substituicao_regressiva,0,,0,4.0,,calcular_x[i]
21,retrosubstituicao,5,,,,,solucao_obtida
