iter,x,erro_abs,erro_rel
1,"[25.0, 0.0, 0.0, 25.0, 0.0, 0.0]",25.0,1.0
2,"[31.25, 6.25, 0.0, 31.25, 6.25, 0.0]",6.25,0.2
3,"[34.375, 9.375, 1.5625, 34.375, 9.375, 1.5625]",3.125,0.09090909090909091
4,"[35.9375, 11.328125, 2.734375, 35.9375, 11.328125, 2.734375]",1.953125,0.05434782608695652
5,"[36.81640625, 12.5, 3.515625, 36.81640625, 12.5, 3.515625]",1.171875,0.03183023872679045
6,"[37.3291015625, 13.2080078125, 4.00390625, 37.3291015625, 13.2080078125, 4.00390625]",0.7080078125,0.01896664486592544
7,"[37.63427734375, 13.63525390625, 4.302978515625, 37.63427734375, 13.63525390625, 4.302978515625]",0.42724609375,0.011352578657152125
8,"[37.8173828125, 13.89312744140625, 4.48455810546875, 37.8173828125, 13.89312744140625, 4.48455810546875]",0.25787353515625,0.0068189154293092314
9,"[37.92762756347656, 14.04876708984375, 4.59442138671875, 37.92762756347656, 14.04876708984375, 4.59442138671875]",0.1556396484375,0.004103595675132009
10,"[37.99409866333008, 14.142704010009766, 4.660797119140625, 37.99409866333008, 14.142704010009766, 4.660797119140625]",0.09393692016601562,0.002472408175764376
11,"[38.03420066833496, 14.199399948120117, 4.700875282287598, 38.03420066833496, 14.199399948120117, 4.700875282287598]",0.05669593811035156,0.0014906567540290984
12,"[38.05840015411377, 14.233618974685669, 4.725068807601929, 38.05840015411377, 14.233618974685669, 4.725068807601929]",0.03421902656555176,0.0008991188916766116
13,"[38.07300478219986, 14.254271984100342, 4.739671945571899, 38.07300478219986, 14.254271984100342, 4.739671945571899]",0.02065300941467285,0.0005424580889483323
14,"[38.08181919157505, 14.266737177968025, 4.74848598241806, 38.08181919157505, 14.266737177968025, 4.74848598241806]",0.01246519386768341,0.0003273266385982191
15,"[38.08713909238577, 14.274260587990284, 4.753805790096521, 38.08713909238577, 14.274260587990284, 4.753805790096521]",0.0075234100222587585,0.0001975315080507795
16,"[38.09034992009401, 14.278801367618144, 4.757016594521701, 38.09034992009401, 14.278801367618144, 4.757016594521701]",0.0045407796278595924,0.0001192107617122249
17,"[38.09228782192804, 14.281541970558465, 4.758954490534961, 38.09228782192804, 14.281541970558465, 4.758954490534961]",0.0027406029403209686,7.194639904887323e-05
