Metodo,Raiz,Iteracoes,Erro
f1 - Bissecção,1.1020584106445312,16,6.922858586767648e-06
f1 - Posição Falsa,1.1020643525010778,6,3.8016183113305154e-06
f1 - Newton-Raphson,1.1020653282508335,5,3.2520230337754505e-07
f1 - Secante,1.1020653282484842,5,5.285847448148052e-08
f1 - Ponto Fixo (g1),1.102035309794351,40,7.8690091419945e-06
f1 - Ponto Fixo (g3),1.102035309794351,40,7.869009141793014e-06
f1 - Ponto Fixo (g7),1.1019731661431824,85,9.381436498330897e-06
f2 - Bissecção,5.322296142578125,16,5.733912076192224e-06
f2 - Posição Falsa,5.322324824690055,5,7.935475751577288e-06
f2 - Newton-Raphson,5.322320337834231,6,1.2243328271815697e-09
f2 - Secante,5.322320350283973,7,4.153159222143284e-06
f2 - Ponto Fixo (g2),5.322310220818079,10,4.258397877012624e-06
f2 - Ponto Fixo (g4),5.322310220818079,10,4.258397877012624e-06
f2 - Ponto Fixo (g8),5.2819558764302394,100,0.000277363051373992
