Metodo,Raiz,Juros,Iteracoes,Erro
f1 - Bisseccao,1.1222475051879883,0.12224750518798833,17,8.497896515675475e-07
f1 - Posicao Falsa,1.1222429063171162,0.1222429063171162,56,9.87216800171223e-07
f1 - Newton-Raphson,1.1222483074216723,0.12224830742167225,3,6.451019095490431e-08
f1 - Secante,1.0000000002386538,2.386537634180286e-10,8,6.815575995283621e-07
f1 - Ponto Fixo (g1),1.1222465323255248,0.12224653232552485,16,8.326035959858061e-07
f2 - Bisseccao,1.1093786239624024,0.10937862396240239,17,8.596472798439018e-07
f2 - Posicao Falsa,1.1093683365127216,0.1093683365127216,95,9.705509961504561e-07
f2 - Newton-Raphson,1.1093783629248168,0.10937836292481684,3,1.4875885627692498e-09
f2 - Secante,1.000000000000116,1.1590728377086634e-13,8,6.153494158666459e-09
f2 - Ponto Fixo (g2),1.109381163183759,0.1093811631837589,19,7.807376822430144e-07
