iter,a,b,c,f(c),erro
0,1.05,1.3,1.0548182199509748,-0.14841294467416688,0.004567820179669151
1,1.0548182199509748,1.3,1.0597682851013273,-0.15374184483976272,0.004670893835890897
2,1.0597682851013273,1.3,1.0647889201694838,-0.15720963310771552,0.004715145859479258
3,1.0647889201694838,1.3,1.069813138198858,-0.15856854606755455,0.004696351026154946
4,1.069813138198858,1.3,1.074771622513402,-0.1576754264615996,0.004613523664635286
5,1.074771622513402,1.3,1.0795965543836537,-0.15451420353138978,0.004469199026858829
6,1.0795965543836537,1.3,1.0842254503252442,-0.14920372695959827,0.004269311276729374
7,1.0842254503252442,1.3,1.0886045427676823,-0.14198842710916537,0.004022665963991477
8,1.0886045427676823,1.3,1.0926913039500543,-0.1332129756937075,0.0037400875870417447
9,1.0926913039500543,1.3,1.096455861335874,-0.12328563716631002,0.003433387077919423
10,1.096455861335874,1.3,1.0998812438022365,-0.11263716422103087,0.00311432028290728
11,1.0998812438022365,1.3,1.1029625808791121,-0.10168228808274371,0.0027936914001376787
12,1.1029625808791121,1.3,1.105705510006044,-0.0907892624728941,0.0024807049454939095
13,1.105705510006044,1.3,1.1081241080163238,-0.08026032403712335,0.0021826057142727037
14,1.1081241080163238,1.3,1.110238655533467,-0.07032328778365837,0.001904588267219982
15,1.110238655533467,1.3,1.1120734863063124,-0.06113252195643781,0.001649918638866037
16,1.1120734863063124,1.3,1.1136550934950527,-0.052776534861049385,0.0014201948143357159
17,1.1136550934950527,1.3,1.1150105842026936,-0.04528926965886981,0.0012156751934424247
18,1.1150105842026936,1.3,1.1161665067853286,-0.038662649282777295,0.001035618409626127
19,1.1161665067853286,1.3,1.1171480288065563,-0.03285861825499836,0.0008785962074124177
20,1.1171480288065563,1.3,1.1179784166375242,-0.027819642955822843,0.0007427583740528737
21,1.1179784166375242,1.3,1.1186787567979226,-0.023477216823884817,0.0006260422450526137
22,1.1186787567979226,1.3,1.1192678592021743,-0.01975832454069959,0.000526328348847267
23,1.1192678592021743,1.3,1.1197622889236885,-0.016590060430988984,0.0004415488237145303
24,1.1197622889236885,1.3,1.1201764823941633,-0.013902708688512178,0.0003697573346564364
25,1.1201764823941633,1.3,1.1205229137746582,-0.011631619184374387,0.00030916938532549014
26,1.1205229137746582,1.3,1.1208122862336887,-0.009718188886715495,0.0002581810197699388
27,1.1208122862336887,1.3,1.1210537304333292,-0.008110211743147744,0.00021537254913485206
28,1.1210537304333292,1.3,1.1212549985071054,-0.006761806151878602,0.00017950249857896943
29,1.1212549985071054,1.3,1.121422646319396,-0.005633078348857623,0.00014949565432866897
30,1.121422646319396,1.3,1.1215622000475576,-0.004689636556474142,0.00012442798817197928
31,1.1215622000475576,1.3,1.1216783053784598,-0.0039020358613299777,0.0001035103650890823
32,1.1216783053784598,1.3,1.1217748590992813,-0.0032452071164428276,8.607228093794126e-05
33,1.1217748590992813,1.3,1.1218551237918835,-0.002697903539857549,7.154639748031213e-05
34,1.1218551237918835,1.3,1.1219218268739064,-0.002242184729652763,5.9454304591617584e-05
35,1.1219218268739064,1.3,1.1219772454927985,-0.0018629482209604475,4.93937101797393e-05
36,1.1219772454927985,1.3,1.122023278863575,-0.001547512345954516,4.1027108477623726e-05
37,1.122023278863575,1.3,1.122061509613366,-0.0012852501166804586,3.407188417345175e-05
38,1.122061509613366,1.3,1.1220932556019494,-0.0010672714354491575,2.8291755988172813e-05
39,1.1220932556019494,1.3,1.1221196135587426,-0.0008861496294834126,2.3489435952005366e-05
40,1.1221196135587426,1.3,1.1221414957337628,-0.0007356877297048925,1.9500370589080642e-05
41,1.1221414957337628,1.3,1.1221596606158257,-0.0006107198031273242,1.6187430987313132e-05
42,1.1221596606158257,1.3,1.1221747386335565,-0.0005069428194381942,1.3436425907411383e-05
43,1.1221747386335565,1.3,1.122187253627884,-0.00042077486190095215,1.1152322651205398e-05
44,1.122187253627884,1.3,1.122197640770553,-0.00034923589846869163,9.25607245239351e-06
45,1.122197640770553,1.3,1.122206261502324,-0.00028984775853757583,7.681949448011561e-06
46,1.122206261502324,1.3,1.1222134159765442,-0.00024055038271697526,6.3753240857012575e-06
47,1.1222134159765442,1.3,1.1222193534177884,-0.00019963180854176699,5.290802752720668e-06
48,1.1222193534177884,1.3,1.1222242807401597,-0.000165669715009642,4.390675247178688e-06
49,1.1222242807401597,1.3,1.1222283697143731,-0.0001374826697286835,3.643620428599623e-06
50,1.1222283697143731,1.3,1.1222317629257457,-0.00011408950386382344,3.0236279925836443e-06
51,1.1222317629257457,1.3,1.1222345787255168,-9.467548452946062e-05,2.509100881854278e-06
52,1.1222345787255168,1.3,1.1222369153445266,-7.856416403484445e-05,2.0821084905389336e-06
53,1.1222369153445266,1.3,1.1222388543102233,-6.519396503890107e-05,1.7277656082048388e-06
54,1.1222388543102233,1.3,1.1222404632844831,-5.4098712706007746e-05,1.4337161352360623e-06
55,1.1222404632844831,1.3,1.1222417984200652,-4.4891454198392466e-05,1.189704022762261e-06
56,1.1222417984200652,1.3,1.1222429063171162,-3.7251014028072404e-05,9.87216800171223e-07
