iter,fase,k,linha_pivo,linha_alvo,pivo,multiplicador,acao
0,fatoracao_LU,,,,,,inicio_fatoracao
1,fatoracao_LU,0,0,1,4.0,-0.25,armazenar_multiplicador_L_e_anular_U
2,fatoracao_LU,0,0,2,4.0,0.0,armazenar_multiplicador_L_e_anular_U
3,fatoracao_LU,0,0,3,4.0,-0.25,armazenar_multiplicador_L_e_anular_U
4,fatoracao_LU,0,0,4,4.0,0.0,armazenar_multiplicador_L_e_anular_U
5,fatoracao_LU,0,0,5,4.0,0.0,armazenar_multiplicador_L_e_anular_U
6,fatoracao_LU,0,0,6,4.0,0.0,armazenar_multiplicador_L_e_anular_U
7,fatoracao_LU,0,0,7,4.0,0.0,armazenar_multiplicador_L_e_anular_U
8,fatoracao_LU,0,0,8,4.0,0.0,armazenar_multiplicador_L_e_anular_U
9,fatoracao_LU,1,1,2,3.75,-0.26666666666666666,armazenar_multiplicador_L_e_anular_U
10,fatoracao_LU,1,1,3,3.75,-0.06666666666666667,armazenar_multiplicador_L_e_anular_U
11,fatoracao_LU,1,1,4,3.75,-0.26666666666666666,armazenar_multiplicador_L_e_anular_U
12,fatoracao_LU,1,1,5,3.75,0.0,armazenar_multiplicador_L_e_anular_U
13,fatoracao_LU,1,1,6,3.75,0.0,armazenar_multiplicador_L_e_anular_U
14,fatoracao_LU,1,1,7,3.75,0.0,armazenar_multiplicador_L_e_anular_U
15,fatoracao_LU,1,1,8,3.75,0.0,armazenar_multiplicador_L_e_anular_U
16,fatoracao_LU,2,2,3,3.7333333333333334,-0.017857142857142856,armazenar_multiplicador_L_e_anular_U
17,fatoracao_LU,2,2,4,3.7333333333333334,-0.07142857142857142,armazenar_multiplicador_L_e_anular_U
18,fatoracao_LU,2,2,5,3.7333333333333334,-0.26785714285714285,armazenar_multiplicador_L_e_anular_U
19,fatoracao_LU,2,2,6,3.7333333333333334,0.0,armazenar_multiplicador_L_e_anular_U
20,fatoracao_LU,2,2,7,3.7333333333333334,0.0,armazenar_multiplicador_L_e_anular_U
21,fatoracao_LU,2,2,8,3.7333333333333334,0.0,armazenar_multiplicador_L_e_anular_U
22,fatoracao_LU,3,3,4,3.732142857142857,-0.28708133971291866,armazenar_multiplicador_L_e_anular_U
23,fatoracao_LU,3,3,5,3.732142857142857,-0.004784688995215311,armazenar_multiplicador_L_e_anular_U
24,fatoracao_LU,3,3,6,3.732142857142857,-0.2679425837320574,armazenar_multiplicador_L_e_anular_U
25,fatoracao_LU,3,3,7,3.732142857142857,0.0,armazenar_multiplicador_L_e_anular_U
26,fatoracao_LU,3,3,8,3.732142857142857,0.0,armazenar_multiplicador_L_e_anular_U
27,fatoracao_LU,4,4,5,3.4066985645933014,-0.31601123595505615,armazenar_multiplicador_L_e_anular_U
28,fatoracao_LU,4,4,6,3.4066985645933014,-0.08426966292134831,armazenar_multiplicador_L_e_anular_U
29,fatoracao_LU,4,4,7,3.4066985645933014,-0.29353932584269665,armazenar_multiplicador_L_e_anular_U
30,fatoracao_LU,4,4,8,3.4066985645933014,0.0,armazenar_multiplicador_L_e_anular_U
31,fatoracao_LU,5,5,6,3.3918539325842696,-0.028157349896480333,armazenar_multiplicador_L_e_anular_U
32,fatoracao_LU,5,5,7,3.3918539325842696,-0.09316770186335405,armazenar_multiplicador_L_e_anular_U
33,fatoracao_LU,5,5,8,3.3918539325842696,-0.294824016563147,armazenar_multiplicador_L_e_anular_U
34,fatoracao_LU,6,6,7,3.705175983436853,-0.2950379973178364,armazenar_multiplicador_L_e_anular_U
35,fatoracao_LU,6,6,8,3.705175983436853,-0.007599463567277602,armazenar_multiplicador_L_e_anular_U
36,fatoracao_LU,7,7,8,3.3544926240500668,-0.32835820895522394,armazenar_multiplicador_L_e_anular_U
37,substituicao_progressiva,,,,,,inicio_substituicao_progressiva
38,substituicao_progressiva,0,,0,1.0,,calcular_y[i]
39,substituicao_progressiva,1,,1,1.0,,calcular_y[i]
40,substituicao_progressiva,2,,2,1.0,,calcular_y[i]
41,substituicao_progressiva,3,,3,1.0,,calcular_y[i]
42,substituicao_progressiva,4,,4,1.0,,calcular_y[i]
43,substituicao_progressiva,5,,5,1.0,,calcular_y[i]
44,substituicao_progressiva,6,,6,1.0,,calcular_y[i]
45,substituicao_progressiva,7,,7,1.0,,calcular_y[i]
46,substituicao_progressiva,8,,8,1.0,,calcular_y[i]
47,substituicao_regressiva,,,,,,inicio_substituicao_regressiva
48,substituicao_regressiva,8,,8,3.343283582089552,,calcular_x[i]
49,substituicao_regressiva,7,,7,3.3544926240500668,,calcular_x[i]
50,substituicao_regressiva,6,,6,3.705175983436853,,calcular_x[i]
51,substituicao_regressiva,5,,5,3.3918539325842696,,calcular_x[i]
52,substituicao_regressiva,4,,4,3.4066985645933014,,calcular_x[i]
53,substituicao_regressiva,3,,3,3.732142857142857,,calcular_x[i]
54,substituicao_regressiva,2,,2,3.7333333333333334,,calcular_x[i]
55,substituicao_regressiva,1,,1,3.75,,calcular_x[i]
56,substituicao_regressiva,0,,0,4.0,,calcular_x[i]
57,solucao,,,,,,solucao_obtida
