iter,x,erro
1,"[25.0, 6.25, 1.5625, 31.25, 9.375, 2.734375]",1.0
2,"[34.375, 11.328125, 3.515625, 35.9375, 12.5, 4.00390625]",0.2608695652173913
3,"[36.81640625, 13.2080078125, 4.302978515625, 37.3291015625, 13.63525390625, 4.48455810546875]",0.06540222367560497
4,"[37.63427734375, 13.89312744140625, 4.59442138671875, 37.8173828125, 14.04876708984375, 4.660797119140625]",0.021626856036152355
5,"[37.92762756347656, 14.142704010009766, 4.700875282287598, 37.99409866333008, 14.199399948120117, 4.725068807601929]",0.007720941673757584
6,"[38.03420066833496, 14.233618974685669, 4.739671945571899, 38.05840015411377, 14.254271984100342, 4.74848598241806]",0.0028002518347287606
7,"[38.07300478219986, 14.266737177968025, 4.753805790096521, 38.08181919157505, 14.274260587990284, 4.757016594521701]",0.0010189669161993035
8,"[38.08713909238577, 14.278801367618144, 4.758954490534961, 38.09034992009401, 14.281541970558465, 4.760124115273356]",0.0003710732564956806
9,"[38.09228782192804, 14.283196070755366, 4.760830046507181, 38.093457448121626, 14.284194408537587, 4.761256113761192]",0.00013516046815341474
10,"[38.09416337971925, 14.284796958691004, 4.761513268113049, 38.09458944706421, 14.285160629879101, 4.7616684744980375]",4.923423033118919e-05
