iter,fase,k,linha_pivo,linha_alvo,pivo,multiplicador,acao
0,normalizacao,0,0,0,20.0,0.05,normalizar_linha
1,eliminacao,0,0,1,1.0,-10.0,anular_elemento
2,eliminacao,0,0,2,1.0,-4.0,anular_elemento
3,normalizacao,1,1,1,20.0,0.05,normalizar_linha
4,eliminacao,1,1,0,1.0,-0.5,anular_elemento
5,eliminacao,1,1,2,1.0,-7.0,anular_elemento
6,normalizacao,2,2,2,16.75,0.05970149253731343,normalizar_linha
7,eliminacao,2,2,0,1.0,-0.375,anular_elemento
8,eliminacao,2,2,1,1.0,-0.35000000000000003,anular_elemento
9,solucao,,,,,,solucao_obtida
