iter,x,erro_abs,erro_rel
1,"[12.5, 12.5, 37.5, -0.0, -0.0, 25.0, 12.5, 12.5, 37.5]",37.5,1.0
2,"[15.625, 25.0, 46.875, 6.25, 12.5, 43.75, 15.625, 25.0, 46.875]",18.75,0.4
3,"[20.3125, 31.25, 54.6875, 10.9375, 25.0, 51.5625, 20.3125, 31.25, 54.6875]",12.5,0.22857142857142856
4,"[23.046875, 37.5, 58.203125, 16.40625, 31.25, 58.59375, 23.046875, 37.5, 58.203125]",7.03125,0.12
5,"[25.9765625, 40.625, 61.5234375, 19.3359375, 37.5, 61.9140625, 25.9765625, 40.625, 61.5234375]",6.25,0.10094637223974763
6,"[27.490234375, 43.75, 63.134765625, 22.36328125, 40.625, 65.13671875, 27.490234375, 43.75, 63.134765625]",3.22265625,0.049475262368815595
7,"[29.0283203125, 45.3125, 64.7216796875, 23.9013671875, 43.75, 66.7236328125, 29.0283203125, 45.3125, 64.7216796875]",3.125,0.04683497987559458
8,"[29.803466796875, 46.875, 65.509033203125, 25.45166015625, 45.3125, 68.29833984375, 29.803466796875, 46.875, 65.509033203125]",1.57470703125,0.023056300268096516
9,"[30.5816650390625, 47.65625, 66.2933349609375, 26.2298583984375, 46.875, 69.0826416015625, 30.5816650390625, 47.65625, 66.2933349609375]",1.5625,0.022617838052745504
10,"[30.971527099609375, 48.4375, 66.68472290039062, 27.00958251953125, 47.65625, 69.86541748046875, 30.971527099609375, 48.4375, 66.68472290039062]",0.78277587890625,0.011204053552318344
11,"[31.361770629882812, 48.828125, 67.07572937011719, 27.399826049804688, 48.4375, 70.25642395019531, 31.361770629882812, 48.828125, 67.07572937011719]",0.78125,0.011119979584412482
12,"[31.556987762451172, 49.21875, 67.27113723754883, 27.790260314941406, 48.828125, 70.6472396850586, 31.556987762451172, 49.21875, 67.27113723754883]",0.39081573486328125,0.005531932126513587
13,"[31.75225257873535, 49.4140625, 67.46649742126465, 27.985525131225586, 49.21875, 70.84259986877441, 31.75225257873535, 49.4140625, 67.46649742126465]",0.390625,0.005513984533650315
14,"[31.849896907806396, 49.609375, 67.5641655921936, 28.180813789367676, 49.4140625, 71.03793621063232, 31.849896907806396, 49.609375, 67.5641655921936]",0.19533634185791016,0.002749746857492095
15,"[31.94754719734192, 49.70703125, 67.66182780265808, 28.2784640789032, 49.609375, 71.1355984210968, 31.94754719734192, 49.70703125, 67.66182780265808]",0.1953125,0.0027456365636206676
16,"[31.9963738322258, 49.8046875, 67.7106574177742, 28.37611734867096, 49.70703125, 71.23325765132904, 31.9963738322258, 49.8046875, 67.7106574177742]",0.09765923023223877,0.0013709780157782337
17,"[32.04520121216774, 49.853515625, 67.75948628783226, 28.4249447286129, 49.8046875, 71.2820865213871, 32.04520121216774, 49.853515625, 67.75948628783226]",0.09765625,0.0013699970745202545
18,"[32.069615088403225, 49.90234375, 67.78390053659678, 28.47377248108387, 49.853515625, 71.33091501891613, 32.069615088403225, 49.90234375, 67.78390053659678]",0.048828497529029846,0.0006845348544327673
19,"[32.09402905777097, 49.9267578125, 67.80831469222903, 28.498186450451612, 49.90234375, 71.35532917454839, 32.09402905777097, 49.9267578125, 67.80831469222903]",0.048828125,0.0006842954207464636
20,"[32.1062360657379, 49.951171875, 67.8205217467621, 28.522600466385484, 49.9267578125, 71.37974328361452, 32.1062360657379, 49.951171875, 67.8205217467621]",0.02441410906612873,0.0003420313375059879
21,"[32.11844308534637, 49.96337890625, 67.83272878965363, 28.53480748599395, 49.951171875, 71.39195032650605, 32.11844308534637, 49.96337890625, 67.83272878965363]",0.0244140625,0.0003419722025850815
22,"[32.12454659806099, 49.9755859375, 67.83883230818901, 28.547014511423185, 49.96337890625, 71.40415736357681, 32.12454659806099, 49.9755859375, 67.83883230818901]",0.012207037070766091,0.0001709569515484947
