iter,a,b,c,f(c),erro
0,1.0,2.0,1.5,0.09115316946194194,0.3333333333333333
1,1.0,1.5,1.25,0.03153233451754875,0.2
2,1.0,1.25,1.125,0.004669367363301119,0.1111111111111111
3,1.0,1.125,1.0625,-0.007850707453185085,0.058823529411764705
4,1.0625,1.125,1.09375,-0.0016717239488042435,0.02857142857142857
5,1.09375,1.125,1.109375,0.0014789354644196562,0.014084507042253521
6,1.09375,1.109375,1.1015625,-0.00010141319624193401,0.0070921985815602835
7,1.1015625,1.109375,1.10546875,0.0006875123057131505,0.0035335689045936395
8,1.1015625,1.10546875,1.103515625,0.00029273660796932943,0.0017699115044247787
9,1.1015625,1.103515625,1.1025390625,9.558337679124729e-05,0.0008857395925597874
10,1.1015625,1.1025390625,1.10205078125,-2.9345035360839322e-06,0.00044306601683650863
11,1.10205078125,1.1025390625,1.102294921875,4.631953961761748e-05,0.00022148394241417498
12,1.10205078125,1.102294921875,1.1021728515625,2.169129360793387e-05,0.00011075423634954037
13,1.10205078125,1.1021728515625,1.10211181640625,9.378088905082071e-06,5.53801849698178e-05
14,1.10205078125,1.10211181640625,1.102081298828125,3.221716149054421e-06,2.7690859247362444e-05
15,1.10205078125,1.102081298828125,1.1020660400390625,1.435871722355042e-07,1.3845621322256837e-05
16,1.10205078125,1.1020660400390625,1.1020584106445312,-1.395462965431138e-06,6.922858586767648e-06
