consulta,grau,linha,x,ordem0,ordem1,ordem2,ordem3
1730.0,2,0,1000.0,5.48,0.00484,1.3599999999999993e-06
1730.0,2,1,1500.0,7.9,0.006199999999999999,
1730.0,2,2,2000.0,11.0,,
1730.0,3,0,1000.0,5.48,0.00484,1.3599999999999993e-06,-1.1333333333333323e-09
1730.0,3,1,1500.0,7.9,0.006199999999999999,-3.399999999999992e-07,
1730.0,3,2,2000.0,11.0,0.00586,,
1730.0,3,3,2500.0,13.93,,,
3200.0,2,0,2500.0,13.93,0.005,2.6199999999999974e-06
3200.0,2,1,3000.0,16.43,0.0076199999999999974,
3200.0,2,2,3500.0,20.24,,
3200.0,3,0,2500.0,13.93,0.005,2.6199999999999974e-06,-2.453333333333328e-09
3200.0,3,1,3000.0,16.43,0.0076199999999999974,-1.059999999999995e-06,
3200.0,3,2,3500.0,20.24,0.0065600000000000025,,
3200.0,3,3,4000.0,23.52,,,
