grupo,temperatura,integral,eficiencia,subintervalos,erro_relativo
temperaturas_i,2000.0,199056799613.66232,0.8058068069360568,32,1.8546172556353141e-06
temperaturas_i,2250.0,723633833320.4535,1.8287851587176402,32,1.6996510409183922e-06
temperaturas_i,2500.0,2066290209382.986,3.4261405916604417,32,1.2103960541245136e-06
temperaturas_i,2750.0,4940480576943.835,5.595157523664706,32,6.502119519551689e-07
temperaturas_i,3000.0,10323935190549.766,8.255324472739607,16,2.0238379509513597e-06
temperaturas_ii,2000.0,199056799613.66232,0.8058068069360568,32,1.8546172556353141e-06
temperaturas_ii,2200.0,571359297748.7772,1.5797649458365335,32,1.7706135451103982e-06
temperaturas_ii,2400.0,1391463763089.6897,2.7164444666075664,32,1.424301678674933e-06
temperaturas_ii,2600.0,2983145774389.4434,4.228194736861547,32,9.865572672756011e-07
temperaturas_ii,2800.0,5780757160660.749,6.091531544408526,16,8.738679841818234e-06
temperaturas_ii,3000.0,10323935190549.766,8.255324472739607,16,2.0238379509513597e-06
