grupo,temperatura,subintervalos,integral,erro_relativo
temperaturas_i,2000.0,4,198949763302.52383,
temperaturas_i,2000.0,8,199050457947.9126,0.0005058749747519453
temperaturas_i,2000.0,16,199056430439.4869,3.0004012234741336e-05
temperaturas_i,2000.0,32,199056799613.66232,1.8546172556353141e-06
temperaturas_i,2250.0,4,723266507423.908,
temperaturas_i,2250.0,8,723612592538.2247,0.0004782740348710703
temperaturas_i,2250.0,16,723632603395.4554,2.7653338360954456e-05
temperaturas_i,2250.0,32,723633833320.4535,1.6996510409183922e-06
temperaturas_i,2500.0,4,2065543672902.921,
temperaturas_i,2500.0,8,2066246962114.507,0.0003403703547936332
temperaturas_i,2500.0,16,2066287708353.47,1.9719537989876266e-05
temperaturas_i,2500.0,32,2066290209382.986,1.2103960541245136e-06
temperaturas_i,2750.0,4,4939563739216.96,
temperaturas_i,2750.0,8,4940425319548.625,0.00017439395921154337
temperaturas_i,2750.0,16,4940477364584.315,1.0534414359129178e-05
temperaturas_i,2750.0,32,4940480576943.835,6.502119519551689e-07
temperaturas_i,3000.0,4,10323696828056.223,
temperaturas_i,3000.0,8,10323914296577.924,2.1064541554094104e-05
temperaturas_i,3000.0,16,10323935190549.766,2.0238379509513597e-06
temperaturas_ii,2000.0,4,198949763302.52383,
temperaturas_ii,2000.0,8,199050457947.9126,0.0005058749747519453
temperaturas_ii,2000.0,16,199056430439.4869,3.0004012234741336e-05
temperaturas_ii,2000.0,32,199056799613.66232,1.8546172556353141e-06
temperaturas_ii,2200.0,4,571058197081.2407,
temperaturas_ii,2200.0,8,571341839474.6129,0.0004964495399689625
temperaturas_ii,2200.0,16,571358286092.2655,2.878512144292595e-05
temperaturas_ii,2200.0,32,571359297748.7772,1.7706135451103982e-06
temperaturas_ii,2400.0,4,1390869846082.8828,
temperaturas_ii,2400.0,8,1391429492042.265,0.00040220935561791353
temperaturas_ii,2400.0,16,1391461781225.516,2.320522466868068e-05
temperaturas_ii,2400.0,32,1391463763089.6897,1.424301678674933e-06
temperaturas_ii,2600.0,4,2982276225572.9067,
temperaturas_ii,2600.0,8,2983094932738.655,0.00027444891436841605
temperaturas_ii,2600.0,16,2983142831345.3003,1.6056424165217425e-05
temperaturas_ii,2600.0,32,2983145774389.4434,9.865572672756011e-07
temperaturas_ii,2800.0,4,5779886593384.394,
temperaturas_ii,2800.0,8,5780706644474.679,0.00014186000790560412
temperaturas_ii,2800.0,16,5780757160660.749,8.738679841818234e-06
temperaturas_ii,3000.0,4,10323696828056.223,
temperaturas_ii,3000.0,8,10323914296577.924,2.1064541554094104e-05
temperaturas_ii,3000.0,16,10323935190549.766,2.0238379509513597e-06
