serie,ano,x,observado,ajustado,residuo
corrente,1980.0,1.0,248.8,225.10789034803275,23.692109651967257
constante,1980.0,1.0,355.3,329.4510611442555,25.848938855744507
corrente,1985.0,6.0,398.0,482.65941367592944,-84.65941367592944
constante,1985.0,6.0,438.0,503.2806758693724,-65.28067586937237
corrente,1989.0,10.0,503.7,599.9005352560988,-96.20053525609882
constante,1989.0,10.0,487.7,567.9023384255244,-80.20233842552437
corrente,1992.0,13.0,684.9,670.7854407256574,14.114559274342582
constante,1992.0,13.0,617.8,604.2536658376875,13.546334162312405
corrente,1994.0,15.0,749.9,712.9175056426562,36.98249435734374
constante,1994.0,15.0,658.1,625.0520753433062,33.047924656693795
corrente,1995.0,16.0,793.5,732.775237853328,60.72476214667199
constante,1995.0,16.0,674.6,634.6649447219851,39.93505527801494
corrente,1997.0,18.0,865.7,770.4524264669494,95.24757353305063
constante,1997.0,18.0,707.6,652.5911802386457,55.00881976135429
