x,y_original,y_predito,residuo
1.0,2.1,2.0309090909090917,0.06909090909090843
2.0,3.4,3.5218181818181824,-0.12181818181818249
3.0,5.2,5.012727272727274,0.1872727272727266
4.0,6.4,6.503636363636365,-0.10363636363636441
5.0,8.1,7.994545454545456,0.10545454545454369
6.0,9.3,9.485454545454546,-0.18545454545454554
7.0,10.8,10.976363636363638,-0.1763636363636376
8.0,12.6,12.467272727272729,0.13272727272727103
9.0,14.1,13.958181818181819,0.14181818181818073
10.0,15.4,15.449090909090911,-0.04909090909091063

Coeficiente Angular (a),1.490909090909091
Coeficiente Linear (b),0.5400000000000006
Coeficiente de Correlacao (r),0.9995036416641122
Coeficiente de Determinacao (R2),0.9990075296998223
Desvio Padrao dos Residuos,0.15090635265861807
