t,Solução Exata,Euler,Erro Absoluto Euler,Erro Relativo Euler,Heun,Erro Absoluto Heun,Erro Relativo Heun,Ponto Médio,Erro Absoluto Ponto Médio,Erro Relativo Ponto Médio,RK4,Erro Absoluto RK4,Erro Relativo RK4
0.0,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0
0.5,10382.119971,10375.0,7.119971,0.000686,10382.03125,0.088721,9e-06,10382.03125,0.088721,9e-06,10382.119965,6e-06,0.0
1.0,10778.841509,10764.0625,14.779009,0.001371,10778.657288,0.184221,1.7e-05,10778.657288,0.184221,1.7e-05,10778.841496,1.3e-05,0.0
1.5,11190.722569,11167.714844,23.007725,0.002056,11190.435679,0.28689,2.6e-05,11190.435679,0.28689,2.6e-05,11190.722549,2e-05,0.0
2.0,11618.342427,11586.50415,31.838277,0.00274,11617.945292,0.397135,3.4e-05,11617.945292,0.397135,3.4e-05,11618.342399,2.8e-05,0.0
2.5,12062.302494,12020.998056,41.304438,0.003424,12061.787109,0.515386,4.3e-05,12061.787109,0.515386,4.3e-05,12062.302458,3.6e-05,0.0
3.0,12523.227162,12471.785483,51.441679,0.004108,12522.585069,0.642093,5.1e-05,12522.585069,0.642093,5.1e-05,12523.227117,4.5e-05,0.0
3.5,13001.764682,12939.477439,62.287243,0.004791,13000.986952,0.77773,6e-05,13000.986952,0.77773,6e-05,13001.764627,5.5e-05,0.0
4.0,13498.588076,13424.707843,73.880233,0.005473,13497.665282,0.922794,6.8e-05,13497.665282,0.922794,6.8e-05,13498.588011,6.5e-05,0.0
4.5,14014.396084,13928.134387,86.261697,0.006155,14013.318276,1.077808,7.7e-05,14013.318276,1.077808,7.7e-05,14014.396008,7.6e-05,0.0
5.0,14549.914146,14450.439426,99.47472,0.006837,14548.670825,1.243321,8.5e-05,14548.670825,1.243321,8.5e-05,14549.914059,8.7e-05,0.0
5.5,15105.895423,14992.330905,113.564518,0.007518,15104.475515,1.419908,9.4e-05,15104.475515,1.419908,9.4e-05,15105.895324,0.0001,0.0
6.0,15683.121855,15554.543314,128.578541,0.008199,15681.513682,1.608173,0.000103,15681.513682,1.608173,0.000103,15683.121742,0.000113,0.0
6.5,16282.405261,16137.838688,144.566573,0.008879,16280.596509,1.808752,0.000111,16280.596509,1.808752,0.000111,16282.405135,0.000127,0.0
7.0,16904.588484,16743.007639,161.580845,0.009558,16902.566172,2.022311,0.00012,16902.566172,2.022311,0.00012,16904.588342,0.000142,0.0
7.5,17550.54657,17370.870425,179.676144,0.010238,17548.297021,2.249549,0.000128,17548.297021,2.249549,0.000128,17550.546412,0.000158,0.0
8.0,18221.188004,18022.278066,198.909938,0.010916,18218.696805,2.491198,0.000137,18218.696805,2.491198,0.000137,18221.187829,0.000175,0.0
8.5,18917.455987,18698.113494,219.342493,0.011595,18914.707957,2.74803,0.000145,18914.707957,2.74803,0.000145,18917.455794,0.000193,0.0
9.0,19640.32976,19399.29275,241.03701,0.012273,19637.308909,3.02085,0.000154,19637.308909,3.02085,0.000154,19640.329548,0.000212,0.0
9.5,20390.825983,20126.766228,264.059755,0.01295,20387.515476,3.310507,0.000162,20387.515476,3.310507,0.000162,20390.825751,0.000232,0.0
10.0,21170.000166,20881.519961,288.480205,0.013627,21166.382278,3.617888,0.000171,21166.382278,3.617888,0.000171,21169.999913,0.000254,0.0
10.5,21978.948151,21664.57696,314.371191,0.014303,21975.004226,3.943924,0.000179,21975.004226,3.943924,0.000179,21978.947874,0.000276,0.0
