t,Solução Exata,Euler,Erro Absoluto Euler,Erro Relativo Euler,Heun,Erro Absoluto Heun,Erro Relativo Heun,Ponto Médio,Erro Absoluto Ponto Médio,Erro Relativo Ponto Médio,RK4,Erro Absoluto RK4,Erro Relativo RK4
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
2.5,24.84375,25.0,0.15625,0.006289,24.841772,0.001978,8e-05,24.842767,0.000983,4e-05,24.84375,0.0,0.0
5.0,49.375,49.683544,0.308544,0.006249,49.371069,0.003931,8e-05,49.373047,0.001953,4e-05,49.375,0.0,0.0
7.5,73.59375,74.050633,0.456883,0.006208,73.58789,0.00586,8e-05,73.590838,0.002912,4e-05,73.59375,0.0,0.0
10.0,97.5,98.101266,0.601266,0.006167,97.492235,0.007765,8e-05,97.496142,0.003858,4e-05,97.5,0.0,0.0
12.5,121.09375,121.835443,0.741693,0.006125,121.084105,0.009645,8e-05,121.088958,0.004792,4e-05,121.09375,0.0,0.0
15.0,144.375,145.253165,0.878165,0.006083,144.363499,0.011501,8e-05,144.369287,0.005713,4e-05,144.375,0.0,0.0
17.5,167.34375,168.35443,1.01068,0.00604,167.330417,0.013333,8e-05,167.337127,0.006623,4e-05,167.343749,1e-06,0.0
20.0,190.0,191.139241,1.139241,0.005996,189.984859,0.015141,8e-05,189.99248,0.00752,4e-05,189.999999,1e-06,0.0
22.5,212.34375,213.607595,1.263845,0.005952,212.326826,0.016924,8e-05,212.335345,0.008405,4e-05,212.343749,1e-06,0.0
25.0,234.375,235.759494,1.384494,0.005907,234.356318,0.018682,8e-05,234.365721,0.009279,4e-05,234.374999,1e-06,0.0
27.5,256.09375,257.594937,1.501187,0.005862,256.073333,0.020417,8e-05,256.083611,0.010139,4e-05,256.093749,1e-06,0.0
30.0,277.5,279.113924,1.613924,0.005816,277.477873,0.022127,8e-05,277.489012,0.010988,4e-05,277.499999,1e-06,0.0
32.5,298.59375,300.316456,1.722706,0.005769,298.569936,0.023814,8e-05,298.581925,0.011825,4e-05,298.593749,1e-06,0.0
35.0,319.375,321.202532,1.827532,0.005722,319.349525,0.025475,8e-05,319.362351,0.012649,4e-05,319.374999,1e-06,0.0
37.5,339.84375,341.772152,1.928402,0.005674,339.816637,0.027113,8e-05,339.830288,0.013462,4e-05,339.843749,1e-06,0.0
40.0,360.0,362.025316,2.025316,0.005626,359.971273,0.028727,8e-05,359.985738,0.014262,4e-05,359.999999,1e-06,0.0
42.5,379.84375,381.962025,2.118275,0.005577,379.813433,0.030317,8e-05,379.8287,0.01505,4e-05,379.843748,2e-06,0.0
45.0,399.375,401.582278,2.207278,0.005527,399.343118,0.031882,8e-05,399.359174,0.015826,4e-05,399.374998,2e-06,0.0
47.5,418.59375,420.886076,2.292326,0.005476,418.560327,0.033423,8e-05,418.57716,0.01659,4e-05,418.593748,2e-06,0.0
50.0,437.5,439.873418,2.373418,0.005425,437.465059,0.034941,8e-05,437.482658,0.017342,4e-05,437.499998,2e-06,0.0
