x,Solução Analítica,Diferenças Finitas,Erro Absoluto
0.0,40.0,40.0,0.0
0.909091,51.635381,51.637179,0.001799
1.818182,63.532391,63.535823,0.003432
2.727273,75.789421,75.794267,0.004846
3.636364,88.507839,88.513821,0.005982
4.545455,101.792826,101.799604,0.006778
5.454545,115.754254,115.761417,0.007164
6.363636,130.507583,130.514647,0.007064
7.272727,146.174828,146.181221,0.006393
8.181818,162.885559,162.890615,0.005057
9.090909,180.777975,180.780924,0.002949
10.0,200.00005,200.0,5e-05
