Dia,S,E,I,A,H,R,D
0,400000.0,0.0,1.0,0.0,0.0,0.0,0.0
5,399999.055412,0.465601,0.706571,0.30012,0.002982,0.469048,0.000265
10,399997.88149,0.688128,0.61869,0.752431,0.003935,1.054528,0.000797
15,399996.256752,0.962668,0.644583,1.264359,0.004351,1.865866,0.00142
20,399993.992511,1.342445,0.766819,1.894451,0.004861,2.996806,0.002108
25,399990.835758,1.871678,0.989159,2.72122,0.005777,4.573509,0.002899
30,399986.434607,2.609504,1.330606,3.842455,0.007307,6.77165,0.003871
35,399980.298562,3.638148,1.825724,5.38658,0.009661,9.836193,0.005132
40,399971.743859,5.072205,2.52757,7.527762,0.013112,14.108669,0.006824
45,399959.817352,7.071397,3.513049,10.505819,0.018043,20.065201,0.00914
50,399943.190489,9.858308,4.891144,14.653217,0.025001,28.369505,0.012338
